xpress_mode_index,transport_mode,transport_mode_ko,transport_cost_eur_per_unitkm,transport_ef_kgco2_per_unitkm,economically_available,source_basis
1,sea,해상,9.3e-06,0.000101,1,Xpress RT/FT objective coefficients; sea/air EF from Word; mode 3/4 retain Xpress prohibitive cost
2,air,항공,0.001,0.00121,1,Xpress RT/FT objective coefficients; sea/air EF from Word; mode 3/4 retain Xpress prohibitive cost
3,road_disabled,도로(비활성),1000000.0,0.000256,0,Xpress RT/FT objective coefficients; sea/air EF from Word; mode 3/4 retain Xpress prohibitive cost
4,rail_disabled,철도(비활성),1000000.0,2.3e-05,0,Xpress RT/FT objective coefficients; sea/air EF from Word; mode 3/4 retain Xpress prohibitive cost
