scenario_id,scenario_name,minimum_score,apply_carbon_cap,small_cap_kgco2_per_vehicle,standard_cap_kgco2_per_vehicle,source_basis
S1,시나리오 ① 현행 보조금 기준,60,1,8750.0,14250.0,Poster/Word scenario definitions; S2 modular base structure exactly matches uploaded Xpress LP
S2,시나리오 ② 탄소배출 기준 없음,0,0,,,Poster/Word scenario definitions; S2 modular base structure exactly matches uploaded Xpress LP
S3,시나리오 ③ 보조금 점수 65점 이상,65,1,8062.5,13687.5,Poster/Word scenario definitions; S2 modular base structure exactly matches uploaded Xpress LP
